,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,35815036,1.0,t,1,1,Noord-Oost,52.42419,4.95689,Entire home/apt,2,,1.0,5,$105.00,3,100,t,4,6,12,243,95,36,6,4.96,f,2.65,,$52.5,$315,5%,12%,16%,$4.99,0.6648351648351648,528.8873626373627
1,19572024,1.0,f,2,2,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3.0,6.0,14,$279.00,3,300,t,6,10,30,298,126,23,3,4.69,f,2.13,,$46.5,$837,9%,16%,14%,$4.99,0.8164383561643835,1496.5479452054794
2,2973384,0.38,f,1,1,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3.0,3.0,7,$185.00,6,21,t,0,0,5,13,7,2,0,4.83,f,0.15,,$37,$1110,6%,12%,18%,$4.99,0.03561643835616438,941.3013698630137
3,34985473,1.0,t,6,6,Noord-Oost,52.42831,5.042191,Entire home/apt,5,2.0,4.0,4,$135.00,6,1125,t,7,27,57,59,7,3,0,4.43,f,0.2,,$27,$810,8%,13%,17%,$4.99,0.16164383561643836,748.5616438356165
4,44174770,1.0,t,1,1,Watergraafsmeer,52.33715,4.95199,Private room,1,1.0,1.0,8,$59.00,30,1125,t,0,0,3,245,15,10,0,4.88,t,0.66,,$59,$1770,5%,12%,15%,$2.99,0.6712328767123288,296.5068493150685
5,50065811,0.92,f,0,0,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3.0,4.0,14,$275.00,5,42,t,18,48,78,168,7,7,1,4.14,f,0.67,,$45.83,$1375,2%,15%,28%,$4.99,0.4602739726027397,1375.0
6,51340421,0.64,f,2,2,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2.0,2.0,11,$275.00,1,1125,t,10,26,49,317,11,11,3,4.73,f,1.09,,$68.75,$275,11%,15%,23%,$4.99,0.3333333333333333,1345.2380952380952
7,50472290,0.17,f,0,0,Watergraafsmeer,52.33423,4.92661,Entire home/apt,3,2.0,4.0,8,$48.00,14,40,t,5,5,5,104,0,0,0,,t,,,$16,$672,11%,11%,14%,$0.99,0.28493150684931506,240.0
8,18082645,0.29,f,1,1,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,4.0,2.0,6,$150.00,4,1125,t,1,10,25,25,9,1,1,4.88,f,0.14,,$25,$600,9%,13%,18%,$4.99,0.0684931506849315,895.8904109589041
9,47709873,1.0,f,34,34,Westerpark,52.39589,4.87612,Entire home/apt,2,1.0,1.0,6,$210.00,3,120,t,0,4,34,159,8,8,0,4.75,t,0.72,,$105,$630,9%,15%,19%,$4.99,0.43561643835616437,1084.849315068493
10,2818,1.0,t,1,1,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1.0,2.0,4,$49.00,3,28,t,3,6,9,76,296,18,4,4.47,t,1.84,,$24.5,$147,8%,10%,14%,$0.99,0.20821917808219179,346.90410958904107
11,44391,0.6699999999999999,f,1,1,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2.0,2.0,1,$240.00,3,730,t,0,0,0,0,42,3,0,4.71,f,0.29,,$60,$720,9%,17%,29%,$4.99,0.0,1200.0
12,49552,0.92,t,1,1,Centrum-West,52.38028,4.89089,Entire home/apt,3,2.0,2.0,5,$232.00,3,1125,t,0,6,6,169,417,49,8,4.91,f,2.95,,$77.33,$696,10%,25%,25%,$4.99,0.4581005586592179,1162.5
13,55709,0.19000000000000006,f,2,2,Centrum-Oost,52.358112,4.897637,Entire home/apt,2,1.0,1.0,5,$151.00,3,30,t,0,0,0,1,63,3,0,4.95,f,0.45,,$75.5,$453,9%,19%,24%,$4.99,0.0027397260273972603,818.6849315068494
14,55868,0.0,f,1,1,Zuid,52.35597,4.88512,Entire home/apt,4,2.0,2.0,1,$149.00,4,21,t,0,0,0,0,95,0,0,4.86,f,0.68,,$37.25,$596,6%,14%,18%,$4.99,0.0,749.2191780821918
15,80635,0.87,t,4,4,Centrum-West,52.37828,4.8944,Private room,1,1.0,1.0,1,$82.00,3,1125,t,0,0,0,0,228,10,0,4.77,t,1.67,,$82,$246,5%,11%,15%,$4.99,0.0,409.24657534246575
16,97476,0.78,f,1,1,Zuid,52.35665,4.86363,Entire home/apt,2,1.0,1.0,10,$115.00,14,30,t,0,0,0,0,55,2,0,4.89,f,0.41,,$57.5,$1610,7%,14%,18%,$4.99,0.0,575.0
17,137026,0.14,f,1,1,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,4.0,4.0,11,$265.00,2,1125,t,0,2,2,69,99,2,0,4.77,f,0.78,,$66.25,$530,13%,25%,27%,$4.99,0.05405405405405406,1315.1351351351352
18,162467,0.46,f,1,1,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1.0,1.0,4,$175.00,3,21,t,0,1,1,158,62,6,0,4.75,f,0.54,,$87.5,$525,6%,14%,19%,$4.99,0.4328767123287671,761.7123287671233
19,168769,0.65,t,4,4,Centrum-West,52.37956,4.89359,Private room,1,1.0,1.0,3,$88.00,3,1124,t,0,0,0,0,268,12,0,4.58,t,2.06,,$88,$264,4%,7%,18%,$4.99,0.0,439.24657534246575
20,169356,0.44000000000000006,f,1,1,Centrum-West,52.38104,4.88306,Entire home/apt,2,1.0,1.0,11,$195.00,7,7,t,0,1,1,65,26,4,0,5.0,f,0.2,,$97.5,$1365,6%,13%,21%,$4.99,0.1780821917808219,975.0
21,171054,,f,1,1,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,3,2.0,3.0,3,$120.00,3,5,t,0,0,0,0,103,0,0,4.75,f,0.78,,$40,$360,4%,15%,15%,$4.99,0.0,600.0
22,179528,1.0,f,2,2,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2.0,2.0,10,$270.00,21,100,t,6,9,29,55,29,2,0,4.5,t,0.22,,$90,$5670,8%,21%,28%,$4.99,0.1506849315068493,1476.164383561644
23,188347,0.77,f,2,2,De Baarsjes - Oud-West,52.3683,4.85446,Private room,2,1.0,1.0,3,$111.00,1,6,t,4,20,43,43,370,4,0,4.65,f,2.82,,$55.5,$111,7%,12%,19%,$4.99,0.7692307692307693,988.4615384615385
24,193038,1.0,t,2,2,Centrum-Oost,52.36057,4.89671,Private room,2,1.0,1.0,4,$121.00,3,31,t,2,5,15,75,642,43,5,4.96,t,4.91,,$60.5,$363,7%,15%,18%,$4.99,0.20498614958448755,600.0
25,214531,0.5,t,1,1,Centrum-West,52.37169,4.89446,Private room,3,1.0,2.0,5,$115.00,3,50,t,0,0,0,0,173,5,0,4.83,f,1.34,,$38.33,$345,10%,13%,18%,$4.99,0.0,620.7671232876712
26,222516,1.0,f,1,1,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,2,1.0,1.0,8,$119.00,7,21,t,0,0,0,0,137,2,1,4.71,f,1.06,,$59.5,$833,7%,15%,20%,$4.99,0.0,606.6438356164383
27,245927,1.0,t,2,2,Centrum-West,52.36815,4.88604,Entire home/apt,4,2.0,3.0,23,$515.00,2,180,t,0,5,11,234,146,42,1,4.58,t,1.19,,$128.75,$1030,10%,22%,25%,$10.99,0.3673469387755102,4177.959183673469
28,252080,0.74,f,1,1,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2.0,2.0,16,$385.00,4,30,t,0,7,10,165,11,0,0,4.89,f,0.09,,$96.25,$1540,6%,23%,16%,$4.99,0.4520547945205479,1917.7945205479452
29,262394,,f,1,1,Zuid,52.35695,4.85234,Private room,2,1.0,1.0,7,$88.00,3,30,t,0,0,0,0,113,0,0,4.83,f,0.91,,$44,$264,6%,13%,15%,$4.99,0.0,440.0
30,274688,0.36,f,1,1,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1.0,1.0,5,$88.00,4,30,t,0,0,0,0,43,0,0,4.85,f,0.34,,$44,$352,5%,10%,18%,$4.99,0.0,439.24657534246575
31,286374,0.38,f,1,1,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,1.0,2.0,1,$130.00,4,21,t,0,4,18,256,4,3,1,4.75,f,0.11,,$32.5,$520,6%,14%,18%,$4.99,0.7013698630136986,650.0
32,286500,0.8400000000000001,t,2,2,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,5,$162.00,3,365,t,1,3,6,224,318,35,3,4.89,t,2.53,,$81,$486,9%,21%,18%,$4.99,0.6177285318559557,942.0914127423823
33,290701,1.0,t,2,2,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,4,$161.00,3,365,t,3,9,9,248,374,48,6,4.85,t,2.98,,$80.5,$483,8%,19%,20%,$4.99,0.6776859504132231,932.6584022038568
34,291752,0.6,f,1,1,Oud-Oost,52.35179,4.91082,Private room,2,1.0,1.0,2,$105.00,3,1125,t,1,10,15,290,209,0,0,4.86,f,1.65,,$52.5,$315,6%,17%,16%,$4.99,0.7945205479452054,523.4931506849315
35,304143,1.0,f,1,1,Oud-Oost,52.3623,4.92028,Entire home/apt,2,1.0,1.0,6,$95.00,3,30,t,0,0,0,0,52,0,0,4.55,f,0.41,,$47.5,$285,4%,10%,17%,$4.99,0.0,475.0
36,306852,0.79,f,0,0,Centrum-Oost,52.35931,4.89844,Entire home/apt,4,2.0,2.0,7,$200.00,4,21,t,0,0,0,31,31,10,2,4.61,f,0.26,,$50,$800,7%,24%,20%,$4.99,0.08493150684931507,1000.0
37,307621,0.51,f,0,0,Centrum-Oost,52.35871,4.89616,Entire home/apt,2,1.0,1.0,7,$125.00,3,21,t,0,0,0,0,2,0,0,4.5,f,0.02,,$62.5,$375,8%,20%,18%,$4.99,0.0,625.0
38,308028,0.55,f,0,0,Centrum-Oost,52.35972,4.8975,Private room,2,1.0,1.0,8,$95.00,3,10,t,0,0,0,0,35,0,0,4.77,f,0.35,,$47.5,$285,6%,15%,14%,$4.99,0.0,475.0
39,311124,0.38,f,2,2,Centrum-West,52.37104,4.87713,Entire home/apt,2,1.0,1.0,10,$225.00,5,15,t,0,22,48,317,85,4,1,4.75,f,0.69,,$112.5,$1125,6%,13%,17%,$4.99,0.8684931506849315,1127.7397260273972
40,327285,0.5900000000000001,f,3,3,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,4,1.0,6.0,15,$239.00,2,30,t,0,0,0,0,539,4,4,4.94,t,4.33,,$59.75,$478,10%,16%,18%,$4.99,0.0,1250.0
41,343094,1.0,f,2,2,Oud-Oost,52.35715,4.90926,Private room,2,1.0,1.0,4,$100.00,3,30,t,3,3,5,130,419,29,4,4.89,t,3.41,,$50,$300,8%,15%,18%,$4.99,0.3455056179775281,516.7696629213483
42,350271,,f,1,1,IJburg - Zeeburgereiland,52.36129,4.98845,Entire home/apt,4,3.0,3.0,15,$395.00,7,365,t,23,53,83,358,3,0,0,4.0,f,0.04,,$98.75,$2765,7%,28%,22%,$4.99,0.9808219178082191,1975.0
43,367107,0.0,f,1,1,Centrum-Oost,52.36263,4.90216,Entire home/apt,2,1.0,1.0,11,$182.00,5,30,t,5,6,27,27,12,1,0,5.0,f,0.14,,$91,$910,6%,19%,20%,$4.99,0.07397260273972603,910.6164383561644
44,367491,1.0,f,1,1,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,2,1.0,1.0,9,$174.00,3,19,t,0,0,0,0,72,2,0,4.91,f,0.58,,$87,$522,8%,17%,21%,$4.99,0.0,847.2328767123288
45,379885,0.64,f,2,2,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,2,1.0,1.0,13,$297.00,3,180,t,5,26,53,81,84,2,1,4.66,t,0.69,,$148.5,$891,11%,13%,20%,$4.99,0.2219178082191781,1422.958904109589
46,396125,0.44000000000000006,f,1,1,Centrum-West,52.37824,4.88532,Private room,2,1.0,1.0,1,$70.00,3,14,t,1,1,1,1,574,0,0,4.45,f,4.66,,$35,$210,6%,9%,15%,$2.99,0.0027397260273972603,350.0
47,402353,0.98,f,1,1,Watergraafsmeer,52.35338,4.93407,Private room,2,1.0,1.0,6,$139.00,2,1125,t,2,6,8,234,228,30,4,4.85,t,1.89,,$69.5,$278,6%,13%,19%,$4.99,0.0,800.0
48,414865,0.0,f,1,1,Zuid,52.35043,4.84676,Entire home/apt,2,1.0,1.0,5,$110.00,4,30,t,2,2,14,14,8,1,1,4.88,f,0.1,,$55,$440,7%,17%,18%,$4.99,0.038356164383561646,561.5616438356165
49,437757,1.0,t,1,1,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,2,1.0,1.0,5,$145.00,3,7,t,0,0,0,2,136,13,1,4.63,f,1.11,,$72.5,$435,7%,16%,18%,$4.99,0.005479452054794521,550.972602739726
50,438089,1.0,f,1,1,De Baarsjes - Oud-West,52.36116,4.86608,Private room,2,1.0,1.0,12,$129.00,4,60,t,2,2,4,160,215,1,1,4.78,t,1.82,,$64.5,$516,7%,18%,14%,$4.99,0.4383561643835616,645.0
51,440992,0.62,f,1,1,Zuid,52.341621,4.849049,Entire home/apt,4,2.0,2.0,9,$200.00,3,60,t,2,2,2,48,116,11,3,4.87,f,0.95,,$50,$600,7%,29%,25%,$4.99,0.13150684931506848,1000.0
52,441424,0.92,f,1,1,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,4,3.0,3.0,6,$150.00,3,30,t,0,1,1,2,34,1,0,4.55,f,0.28,,$37.5,$450,6%,26%,15%,$4.99,0.005479452054794521,751.4383561643835
53,446999,1.0,f,1,1,De Baarsjes - Oud-West,52.35927,4.86529,Private room,2,1.0,1.0,3,$119.00,4,90,t,10,10,12,162,328,0,0,4.77,t,2.79,,$59.5,$476,7%,18%,18%,$4.99,0.4438356164383562,595.0
54,450767,1.0,t,3,3,Centrum-Oost,52.37006,4.90081,Entire home/apt,4,2.0,3.0,10,$284.00,3,1125,t,0,0,1,201,104,27,3,4.63,f,0.88,,$71,$852,11%,21%,25%,$4.99,0.5726744186046512,1386.1918604651162
55,462341,0.89,f,1,1,Centrum-West,52.3739,4.89263,Entire home/apt,2,3.0,2.0,14,$176.00,3,20,t,0,2,10,10,36,5,1,4.97,f,0.42,,$88,$528,7%,21%,20%,$4.99,0.027472527472527472,879.3543956043956
